"school_name";"title";"id";"tage";"zeit";"ort";"kursleiter";"zeitraum";"preise";"status"
"BEUTH";"Kickboxen";"140";"Di";"18:30-20:00";"Beuth Hochschule für Technik, Raum 401, Haus Beuth";"20.10.-26.01.";"['15', '25', '35']";"ausgebucht"
"BEUTH";"Kickboxen";"141";"Do";"17:00-18:30";"Beuth Hochschule für Technik, Raum 401, Haus Beuth";"29.10.-04.02.";"['15', '25', '35']";"ausgebucht"
"BEUTH";"Kickboxen";"142";"Fr";"17:30-19:00";"Beuth Hochschule für Technik, Raum 401, Haus Beuth";"30.10.-05.02.";"['15', '25', '35']";"ausgebucht"
"BEUTH";"Kickboxen";"143";"Do";"18:30-20:00";"Beuth Hochschule für Technik, Raum 401, Haus Beuth";"29.10.-04.02.";"['15', '25', '35']";"ausgebucht"
"BEUTH";"Kickboxen";"144";"Di";"20:00-21:30";"Beuth Hochschule für Technik, Raum 401, Haus Beuth";"20.10.-26.01.";"['15', '25', '35']";"ausgebucht"
"BEUTH";"Kickboxen";"145";"Fr";"19:00-20:30";"Beuth Hochschule für Technik, Raum 408, Haus Beuth";"30.10.-05.02.";"['15', '25', '35']";"ausgebucht"
"BEUTH";"Klettern";"185";"Mi";"16:30-18:30";"Magic Mountain";"06.01.-17.02.";"['85', '100', '110']";"buchen"
"BEUTH";"Klettern";"186";"Mo";"16:30-18:30";"Magic Mountain";"04.01.-15.02.";"['85', '100', '110']";"buchen"
"BEUTH";"Koreanische Kampfkünste";"150";"Fr";"19:00-20:30";"Beuth Hochschule für Technik, Raum 401, Haus Beuth";"23.10.-29.01.";"['15', '25', '35']";"buchen"
"BEUTH";"Kreative Thaimassage";"406";"Sa";"10:00-14:00";"Beuth Hochschule für Technik, Raum 402, Haus Beuth";"16.01.";"['15', '25', '35']";"buchen"
"BEUTH";"Kung Fu";"208";"Do";"19:00-20:30";"Friedrich Schiller Grundschule";"05.11.-11.02.";"['15', '25', '--']";"buchen"
"BEUTH";"Lernstrategien";"151";"Do";"18:30-21:30";"Beuth Hochschule für Technik, Raum A109, Haus Beuth";"05.11.-26.11.";"['25', '35', '45']";"keine Buchung"
"BEUTH";"MMA";"213";"Mo";"14:00-15:30";"Beuth Hochschule für Technik, Raum 401, Haus BeuthBeuth Hochschule für Technik, Raum 402, Haus BeuthBeuth Hochschule für Technik, Raum 401, Haus BeuthBeuth Hochschule für Technik, Raum 401, Haus BeuthBeuth Hochschule für Technik, Raum 401, Haus Beuth";"01.10.-30.01.";"['entgeltfrei']";"siehe Text"
"BEUTH";"MMA";"213";"Di";"11:45-13:15";"Beuth Hochschule für Technik, Raum 401, Haus BeuthBeuth Hochschule für Technik, Raum 402, Haus BeuthBeuth Hochschule für Technik, Raum 401, Haus BeuthBeuth Hochschule für Technik, Raum 401, Haus BeuthBeuth Hochschule für Technik, Raum 401, Haus Beuth";"01.10.-30.01.";"['entgeltfrei']";"siehe Text"
"BEUTH";"MMA";"213";"Mi";"08:00-09:30";"Beuth Hochschule für Technik, Raum 401, Haus BeuthBeuth Hochschule für Technik, Raum 402, Haus BeuthBeuth Hochschule für Technik, Raum 401, Haus BeuthBeuth Hochschule für Technik, Raum 401, Haus BeuthBeuth Hochschule für Technik, Raum 401, Haus Beuth";"01.10.-30.01.";"['entgeltfrei']";"siehe Text"
"BEUTH";"MMA";"213";"Do";"11:45-13:15";"Beuth Hochschule für Technik, Raum 401, Haus BeuthBeuth Hochschule für Technik, Raum 402, Haus BeuthBeuth Hochschule für Technik, Raum 401, Haus BeuthBeuth Hochschule für Technik, Raum 401, Haus BeuthBeuth Hochschule für Technik, Raum 401, Haus Beuth";"01.10.-30.01.";"['entgeltfrei']";"siehe Text"
"BEUTH";"MMA";"213";"Sa";"09:00-11:00";"Beuth Hochschule für Technik, Raum 401, Haus BeuthBeuth Hochschule für Technik, Raum 402, Haus BeuthBeuth Hochschule für Technik, Raum 401, Haus BeuthBeuth Hochschule für Technik, Raum 401, Haus BeuthBeuth Hochschule für Technik, Raum 401, Haus Beuth";"01.10.-30.01.";"['entgeltfrei']";"siehe Text"
"BEUTH";"Massage (klassisch)";"407";"Sa";"10:00-14:00";"Beuth Hochschule für Technik, Raum 402, Haus Beuth";"09.01.";"['15', '25', '35']";"buchen"
"BEUTH";"Massagen am Arbeitsplatz Bed.";"721";"";"";"Beuth Hochschule für Technik, Raum 402, Haus Beuth";"15.10.-31.03.";"['--', '80', '--']";"buchen"
"BEUTH";"Massagen am Arbeitsplatz See";"722";"Mo-Fr";"";"See";"['--', '60', '--']";"buchen"
"BEUTH";"Pausenexpress";"700";"Di";"11:00-11:15";"PE";"15.09.-17.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"701";"Di";"11:30-11:45";"PE";"15.09.-17.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"702";"Di";"12:00-12:15";"PE";"15.09.-17.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"703";"Di";"12:30-12:45";"PE";"15.09.-17.11.";"['entgeltfrei']";"abgelaufen"
"BEUTH";"Pausenexpress";"704";"Di";"13:00-13:15";"PE";"15.09.-17.11.";"['entgeltfrei']";"abgelaufen"
